periodo;sbu
200701;170,0
200702;170,0
200703;170,0
200704;170,0
200705;170,0
200706;170,0
200707;170,0
200708;170,0
200709;170,0
200710;170,0
200711;170,0
200712;170,0
200801;200,0
200802;200,0
200803;200,0
200804;200,0
200805;200,0
200806;200,0
200807;200,0
200808;200,0
200809;200,0
200810;200,0
200811;200,0
200812;200,0
200901;218,0
200902;218,0
200903;218,0
200904;218,0
200905;218,0
200906;218,0
200907;218,0
200908;218,0
200909;218,0
200910;218,0
200911;218,0
200912;218,0
201001;240,0
201002;240,0
201003;240,0
201004;240,0
201005;240,0
201006;240,0
201007;240,0
201008;240,0
201009;240,0
201010;240,0
201011;240,0
201012;240,0
201101;264,0
201102;264,0
201103;264,0
201104;264,0
201105;264,0
201106;264,0
201107;264,0
201108;264,0
201109;264,0
201110;264,0
201111;264,0
201112;264,0
201201;292,0
201202;292,0
201203;292,0
201204;292,0
201205;292,0
201206;292,0
201207;292,0
201208;292,0
201209;292,0
201210;292,0
201211;292,0
201212;292,0
201301;318,0
201302;318,0
201303;318,0
201304;318,0
201305;318,0
201306;318,0
201307;318,0
201308;318,0
201309;318,0
201310;318,0
201311;318,0
201312;318,0
201401;340,0
201402;340,0
201403;340,0
201404;340,0
201405;340,0
201406;340,0
201407;340,0
201408;340,0
201409;340,0
201410;340,0
201411;340,0
201412;340,0
201501;354,0
201502;354,0
201503;354,0
201504;354,0
201505;354,0
201506;354,0
201507;354,0
201508;354,0
201509;354,0
201510;354,0
201511;354,0
201512;354,0
201601;366,0
201602;366,0
201603;366,0
201604;366,0
201605;366,0
201606;366,0
201607;366,0
201608;366,0
201609;366,0
201610;366,0
201611;366,0
201612;366,0
201701;375,0
201702;375,0
201703;375,0
201704;375,0
201705;375,0
201706;375,0
201707;375,0
201708;375,0
201709;375,0
201710;375,0
201711;375,0
201712;375,0
201801;386,0
201802;386,0
201803;386,0
201804;386,0
201805;386,0
201806;386,0
201807;386,0
201808;386,0
201809;386,0
201810;386,0
201811;386,0
201812;386,0
201901;394,0
201902;394,0
201903;394,0
201904;394,0
201905;394,0
201906;394,0
201907;394,0
201908;394,0
201909;394,0
201910;394,0
201911;394,0
201912;394,0
202001;400,0
202002;400,0
202003;400,0
202004;400,0
202005;400,0
202006;400,0
202007;400,0
202008;400,0
202009;400,0
202010;400,0
202011;400,0
202012;400,0
202101;400,0
202102;400,0
202103;400,0
202104;400,0
202105;400,0
202106;400,0
202107;400,0
202108;400,0
202109;400,0
202110;400,0
202111;400,0
202112;400,0
202201;425,0
202202;425,0
202203;425,0
202204;425,0
202205;425,0
202206;425,0
202207;425,0
202208;425,0
202209;425,0
202210;425,0
202211;425,0
202212;425,0
202301;450,0
202302;450,0
202303;450,0
202304;450,0
202305;450,0
202306;450,0
202307;450,0
202308;450,0
202309;450,0
202310;450,0
202311;450,0
202312;450,0
202401;460,0
202402;460,0
202403;460,0
202404;460,0
202405;460,0
202406;460,0
202407;460,0
202408;460,0
202409;460,0
202410;460,0
202411;460,0
202412;460,0
202501;470,0
202502;470,0
202503;470,0
202504;470,0
202505;470,0
202506;470,0
202507;470,0
202508;470,0
202509;470,0
202510;470,0
202511;470,0
202512;470,0